lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0448493
# Diagonal elements of inverse mass matrix:
# 0.00319644, 12.451, 1.03256, 0.360273, 0.187028, 0.147612, 0.345215, 0.514493, 0.798403, 0.727563, 0.140468, 0.0819042, 0.159118, 0.323224, 0.264165, 0.511924, 0.441222, 0.807933, 0.658663, 0.251041, 0.2528, 0.0154136, 0.227859
-181.984,0.994394,0.0448493,6,63,0,191.564,-0.151154,-8.23151,-0.485559,-1.6112,-1.15395,-1.08667,0.543849,-0.949904,0.19349,0.76759,2.77582,-0.212374,0.432407,0.858616,-0.453176,-0.173065,0.836257,0.214249,0.776971,0.226298,0.26893,0.375187,2.59437,-1.34783,-4.47241,-3.20316,-3.0164,1.50963,-2.63677,0.537095,2.1307,-0.0480599,0.0978528,0.194303,-0.102553,-0.0391644,0.189243,0.0484842,0.175827,-10.205,-0.151154
-182.78,0.92167,0.0448493,6,63,0,190.373,-0.0661327,-4.8173,0.258166,-0.703586,-0.320701,-0.492599,0.760976,-0.891639,-0.0308019,-0.784467,8.13898,-0.387905,0.342904,0.910444,-0.76544,1.16049,1.36903,-0.210346,-0.812435,0.191048,0.241806,0.401938,3.03141,2.1012,-5.72647,-2.61018,-4.00926,6.19357,-7.25703,-0.250696,-6.38476,-0.0741086,0.0655113,0.173939,-0.146236,0.22171,0.26155,-0.0401862,-0.155214,-12.4296,-0.0661327
-183.26,0.611186,0.0448493,6,63,0,190.85,-0.169537,-9.87319,-1.43018,-1.0209,-0.740401,-0.890112,0.129939,-0.999759,-1.13352,0.199697,4.71341,-0.25099,0.537543,0.569894,-0.402239,0.000700353,0.966901,-0.452641,-0.374375,0.214603,0.183895,0.35183,3.01256,-6.741,-4.8119,-3.48981,-4.19546,0.612455,-4.71227,-5.34275,0.941251,-0.0538633,0.115359,0.122301,-0.0863219,0.000150298,0.2075,-0.0971383,-0.0803422,-10.9695,-0.169537
-189.462,0.991481,0.0448493,6,63,0,197.544,-0.0114072,-13.826,1.9401,-0.694377,-0.945054,-0.414893,0.32714,-0.895906,-0.149654,-0.470434,4.26277,-0.070271,0.409936,1.12878,-0.852655,0.899363,1.40084,-0.902451,-1.19153,0.175072,0.314084,0.404053,2.50522,8.27017,-2.95997,-4.02854,-1.76859,1.39452,-3.81904,-0.637939,-2.00535,-0.0123025,0.0717682,0.197618,-0.149276,0.157453,0.245247,-0.157994,-0.208603,-10.9015,-0.0114072
-191.365,0.896032,0.0448493,6,127,0,204.029,0.0162062,-7.32037,-0.517316,-0.72448,-1.36683,-0.178941,1.10306,-1.37842,0.277574,1.39008,2.05883,-0.168413,0.420467,0.482647,0.0670533,0.0112517,1.19244,0.204654,0.0912909,0.215638,0.400812,0.379962,2.74432,-1.06507,-1.49158,-2.81408,-0.36841,2.27102,-2.83793,0.571478,2.86193,-0.0363163,0.0906685,0.104077,0.0144592,0.0024263,0.257136,0.0441312,0.0196858,-9.88756,0.0162062
-196.586,0.940223,0.0448493,6,63,0,202.379,-0.0476778,-6.86597,-1.56185,-0.951758,-1.52537,-0.34118,1.6801,-0.576164,-0.851942,2.20308,2.00963,-0.0946817,0.267565,0.682848,-0.522729,0.651334,0.386247,0.708551,1.09783,0.305273,0.363086,0.424256,2.51674,-3.13873,-1.91268,-3.06542,-0.685643,3.37638,-1.15787,-1.71208,4.42738,-0.0289037,0.0816802,0.208455,-0.159575,0.198834,0.117911,0.216301,0.335136,-9.9401,-0.0476778
-197.738,0.970037,0.0448493,6,127,0,213.165,-0.0420783,-7.15216,-1.68389,-0.912253,-1.41487,-0.188509,1.67065,-0.589212,-0.73808,2.17999,1.72828,-0.0299053,0.359404,0.55102,-0.618362,0.792334,0.50266,0.533636,0.865189,0.258536,0.328452,0.431838,2.67185,-2.91024,-1.57663,-2.44529,-0.325797,2.88736,-1.01832,-1.27561,3.76763,-0.00773159,0.0929188,0.142458,-0.159869,0.204847,0.129956,0.137964,0.223682,-9.79938,-0.0420783
-192.555,0.994839,0.0448493,6,63,0,204.036,-0.20847,-6.01616,0.875655,-1.26151,-0.987555,-1.03966,1.02051,-1.15963,0.506664,1.15956,2.62935,-0.158669,0.656832,0.892103,0.0640165,0.353507,1.81339,0.398786,-0.0544352,0.16752,0.429548,0.380264,3.34408,2.3024,-3.31694,-2.59663,-2.73363,2.68327,-3.04908,1.3322,3.04889,-0.0265802,0.110032,0.149445,0.010724,0.0592194,0.303779,0.0668047,-0.00911898,-9.96309,-0.20847
-197.123,0.998218,0.0448493,6,63,0,206.69,-0.0894346,-5.08547,1.47808,-1.32458,-0.806881,-0.858586,1.84391,-0.915206,-0.130141,0.754566,2.44469,-0.0183766,0.174543,0.416245,-0.543446,1.46881,0.399069,0.0825695,-0.3558,0.365673,0.288902,0.372814,2.2197,3.61346,-3.2382,-1.97258,-2.09898,4.50779,-2.2374,-0.318155,1.84468,-0.0067198,0.0638254,0.152209,-0.198723,0.537105,0.145929,0.0301934,-0.130106,-10.198,-0.0894346
-196.3,0.999088,0.0448493,6,63,0,210.309,-0.105329,-8.79662,-1.03195,-0.376775,-1.32675,-0.814356,0.296686,-1.49948,-0.734629,2.65541,2.37326,-0.346592,0.945142,0.970191,0.0167577,0.096697,2.30759,0.707668,-0.885064,0.136267,0.419386,0.451077,5.00026,-2.44908,-0.894185,-3.14872,-1.93268,0.704112,-3.55865,-1.74346,6.30199,-0.047229,0.128792,0.132205,0.00228352,0.0131766,0.314448,0.0964317,-0.120605,-9.63015,-0.105329
