lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0601976
# Diagonal elements of inverse mass matrix:
# 0.00294254, 12.3806, 0.914502, 0.324156, 0.127577, 0.115577, 0.346246, 0.512978, 0.690975, 0.996652, 0.107536, 0.0611637, 0.116957, 0.272375, 0.276801, 0.569864, 0.530634, 0.779439, 0.676932, 0.229967, 0.288628, 0.0150888, 0.229206
-188.754,0.829853,0.0601976,6,63,0,197.469,-0.175201,-11.4712,0.0392464,-0.27429,-1.09192,-0.505334,-0.503565,-2.39365,0.269281,-0.371927,3.08524,-0.25346,0.579079,0.938434,-0.804873,-0.646475,1.05865,0.583869,0.983392,0.154909,0.319594,0.369952,2.22454,0.121085,-0.846251,-3.36885,-1.55908,-1.55362,-7.38497,0.830795,-1.14748,-0.0392632,0.0897044,0.145372,-0.124682,-0.100145,0.163995,0.0904464,0.152336,-10.451,-0.175201
-187.804,0.958802,0.0601976,5,63,0,200.692,-0.162883,-11.8645,0.431707,-1.50137,-1.46198,-0.954368,0.888571,-1.33709,-1.58215,-0.681601,2.71267,-0.310972,0.756809,0.849485,-0.412187,0.934291,0.222457,-0.926002,-0.371623,0.118584,0.282705,0.393024,3.26764,1.17108,-4.07274,-3.96587,-2.58889,2.4104,-3.62709,-4.29185,-1.84896,-0.0368762,0.0897453,0.100735,-0.0488787,0.110792,0.0263798,-0.109809,-0.0440685,-10.0126,-0.162883
-191.122,0.298137,0.0601976,6,63,0,207.476,-0.125322,-6.24516,-1.33856,-2.2655,-1.73386,-1.04536,1.58352,-1.69105,0.319165,1.82176,1.43253,-0.255391,0.487045,0.865963,-0.528912,0.575153,1.27325,-0.229439,-0.28714,0.218912,0.361274,0.365423,3.4671,-1.91753,-3.2454,-2.48381,-1.49751,2.26845,-2.42248,0.457215,2.60973,-0.0559082,0.10662,0.18957,-0.115785,0.125908,0.278729,-0.0502271,-0.0628584,-9.52077,-0.125322
-191.081,0.885255,0.0601976,6,63,0,204.681,-0.160618,-5.01008,0.748803,-2.21785,-1.11629,-1.30092,1.92434,-1.97409,1.208,-1.52427,2.51313,-0.129779,0.231428,0.307136,-0.565208,0.303531,0.84938,-0.044333,-1.45274,0.367257,0.113723,0.436163,2.54429,1.88184,-5.57375,-2.80537,-3.26938,4.83613,-4.96114,3.03586,-3.8307,-0.0476621,0.0849936,0.112798,-0.207577,0.111474,0.311941,-0.0162816,-0.53353,-10.1256,-0.160618
-181.335,0.86632,0.0601976,6,63,0,200.853,-0.168518,-8.12268,0.280822,-1.28233,-0.915258,-0.98168,1.13035,-1.48588,-0.402867,-0.66264,3.87248,-0.148957,0.143689,0.353127,-0.385396,0.24338,0.586463,-0.382346,-0.204736,0.502273,0.082268,0.376401,3.68678,1.08748,-4.96581,-3.54432,-3.80153,4.37727,-5.75403,-1.56009,-2.56606,-0.0748169,0.0721712,0.177366,-0.193574,0.122243,0.294564,-0.192042,-0.102834,-10.4709,-0.168518
-182.175,0.998384,0.0601976,6,63,0,188.609,-0.0366907,-8.04526,0.0431729,-1.37136,-1.0093,-1.02344,1.13222,-1.59213,-0.743101,0.138252,3.53104,-0.274013,0.323951,0.620921,-0.571283,0.35824,1.78194,0.541844,-1.17937,0.250683,0.146098,0.407757,3.12016,0.152445,-4.84234,-3.5639,-3.6138,3.9979,-5.62187,-2.62392,0.488175,-0.0686904,0.081209,0.155655,-0.143211,0.0898047,0.446703,0.135831,-0.295648,-10.4107,-0.0366907
-191.134,0.993446,0.0601976,6,63,0,195.559,-0.143176,-8.09788,-1.30558,-1.42412,-1.28842,-1.03499,0.296794,-1.28255,0.387186,1.36023,2.82885,-0.421931,0.662262,1.66405,-0.959637,0.870452,1.62968,0.0864459,0.691307,0.152301,0.060329,0.353974,2.50762,-3.69328,-4.02861,-3.64473,-2.92784,0.839587,-3.62815,1.09529,3.84788,-0.0642604,0.100863,0.253436,-0.146153,0.132571,0.248201,0.0131658,0.105287,-10.2482,-0.143176
-192.226,0.638899,0.0601976,5,31,0,201.059,-0.154312,-8.47899,-1.58566,-1.31235,-1.29396,-1.04322,0.283543,-1.14078,0.386815,1.36227,2.72014,-0.405979,0.725962,1.70463,-0.962794,0.673054,1.70557,0.030337,0.630643,0.133205,0.0562141,0.362782,2.37887,-4.31321,-3.56978,-3.51974,-2.83771,0.771278,-3.10308,1.05219,3.70556,-0.0540786,0.0967021,0.227065,-0.128249,0.0896545,0.227191,0.00404106,0.0840051,-10.2424,-0.154312
-188.577,0.935966,0.0601976,6,63,0,198.848,-0.0739983,-12.9314,-0.173755,-0.494916,-0.830871,-0.615411,0.788168,-1.95337,-2.32447,-0.380629,4.95225,-0.574129,0.85551,1.09596,-1.4998,1.0983,0.899428,-0.521411,-0.623678,0.113679,0.0624033,0.364702,2.97902,-0.860476,-2.45094,-4.11468,-3.04767,3.9032,-9.67354,-11.5114,-1.88497,-0.0652667,0.0972539,0.124589,-0.170496,0.124854,0.102246,-0.0592737,-0.0708993,-11.086,-0.0739983
-184.97,0.699125,0.0601976,6,127,0,200.779,-0.0773745,-14.2958,-0.735746,-0.142712,-0.723001,-0.444191,-0.209929,-1.51441,-0.985074,0.239067,6.34959,-0.398165,0.620131,1.49029,-1.62834,1.58522,1.15666,-0.380005,-1.22404,0.155066,0.126207,0.389654,2.98967,-4.67168,-0.906163,-4.59076,-2.82043,-1.33296,-9.61586,-6.25481,1.51798,-0.0617417,0.096161,0.231093,-0.252499,0.245812,0.179357,-0.0589257,-0.189807,-11.7088,-0.0773745
